stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
661_1,,,,,,,,0,661,,
662,,,,,,,,1,,,
662_1,,,,,,,,0,662,,
663,,,,,,,,1,,,
663_1,,,,,,,,0,663,,
664,,,,,,,,1,,,
664_1,,,,,,,,0,664,,
665,,,,,,,,1,,,
665_1,,,,,,,,0,665,,
666,,,,,,,,1,,,
666_1,,,,,,,,0,666,,
667,,,,,,,,1,,,
667_1,,,,,,,,0,667,,
668,,,,,,,,1,,,
668_1,,,,,,,,0,668,,
669,,,,,,,,1,,,
669_1,,,,,,,,0,669,,
670,,,,,,,,1,,,
670_1,,,,,,,,0,670,,
671,,,,,,,,1,,,
671_1,,,,,,,,0,671,,
672,,,,,,,,1,,,
672_1,,,,,,,,0,672,,
673,,,,,,,,1,,,
673_1,,,,,,,,0,673,,
674,,,,,,,,1,,,
674_1,,,,,,,,0,674,,
675,,,,,,,,1,,,
675_1,,,,,,,,0,675,,
676,,,,,,,,1,,,
676_1,,,,,,,,0,676,,
677,,,,,,,,1,,,
677_1,,,,,,,,0,677,,
678,,,,,,,,1,,,
678_1,,,,,,,,0,678,,
679,,,,,,,,1,,,
679_1,,,,,,,,0,679,,
680,,,,,,,,1,,,
680_1,,,,,,,,0,680,,
681,,,,,,,,1,,,
681_1,,,,,,,,0,681,,
682,,,,,,,,1,,,
682_1,,,,,,,,0,682,,
683,,,,,,,,1,,,
683_1,,,,,,,,0,683,,
684,,,,,,,,1,,,
684_1,,,,,,,,0,684,,
685,,,,,,,,1,,,
685_1,,,,,,,,0,685,,
686,,,,,,,,1,,,
686_1,,,,,,,,0,686,,
687,,,,,,,,1,,,
687_1,,,,,,,,0,687,,
688,,,,,,,,1,,,
688_1,,,,,,,,0,688,,
689,,,,,,,,1,,,
689_1,,,,,,,,0,689,,
690,,,,,,,,1,,,
690_1,,,,,,,,0,690,,
691,,,,,,,,1,,,
691_1,,,,,,,,0,691,,
692,,,,,,,,1,,,
692_1,,,,,,,,0,692,,
693,,,,,,,,1,,,
693_1,,,,,,,,0,693,,
694,,,,,,,,1,,,
694_1,,,,,,,,0,694,,
695,,,,,,,,1,,,
695_1,,,,,,,,0,695,,
696,,,,,,,,1,,,
696_1,,,,,,,,0,696,,
697,,,,,,,,1,,,
697_1,,,,,,,,0,697,,
698,,,,,,,,1,,,
698_1,,,,,,,,0,698,,
699,,,,,,,,1,,,
699_1,,,,,,,,0,699,,
700,,,,,,,,1,,,
700_1,,,,,,,,0,700,,
